Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
17;0;20;no;1;yes;"{""code"": ""6021"", ""name"": ""Beaux-Arts - Bonaparte"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529654643, ""gps"": {""latitude"": 48.8566039745635, ""longitude"": 2.334742918610573}}";0;yes;0;3;no;0;0;0;6021;Beaux-Arts - Bonaparte;Operative;yes;48.8566039746, 2.33474291861;2018-06-22
12;0;25;no;1;yes;"{""code"": ""14111"", ""name"": ""Cassini - Denfert-Rochereau "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529618415, ""gps"": {""latitude"": 48.83752583906732, ""longitude"": 2.336035408079624}}";0;yes;0;11;no;0;2;0;14111;Cassini - Denfert-Rochereau;Operative;yes;48.8375258391, 2.33603540808;2018-06-21
20;0;30;no;1;no;"{""code"": ""12109"", ""name"": ""Mairie du 12ème"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517439628, ""gps"": {""latitude"": 48.84085531176338, ""longitude"": 2.3875549435615544}}";30;yes;0;8;no;0;2;0;12109;Mairie du 12ème;Operative;yes;48.8408553118, 2.38755494356;2018-01-31
15;0;22;no;0;yes;"{""code"": ""25006"", ""name"": ""Place Nelson Mandela "", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1553986800, ""gps"": {""latitude"": 48.862090937689715, ""longitude"": 2.196576297283173}}";0;yes;0;1;no;0;6;0;25006;Place Nelson Mandela;Operative;yes;48.8620909377, 2.19657629728;2019-03-30
51;0;62;no;1;yes;"{""code"": ""17038"", ""name"": ""Grande Armée - Brunel"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1545001200, ""gps"": {""latitude"": 48.876116, ""longitude"": 2.288124}}";0;yes;0;7;no;0;4;0;17038;Grande Armée - Brunel;Operative;yes;48.876116, 2.288124;2018-12-16
40;0;48;no;1;yes;"{""code"": ""11025"", ""name"": ""Froment - Bréguet"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1545001200, ""gps"": {""latitude"": 48.8570414504784, ""longitude"": 2.37289470306807}}";48;yes;0;7;no;0;1;0;11025;Froment - Bréguet;Operative;yes;48.8570414505, 2.37289470307;2018-12-16
46;0;52;no;1;no;"{""code"": ""15047"", ""name"": ""Morillons - Dantzig"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1543334610, ""gps"": {""latitude"": 48.83310149953933, ""longitude"": 2.299380004405976}}";0;yes;0;4;no;0;2;0;15047;Morillons - Dantzig;Operative;yes;48.8331014995, 2.29938000441;2018-11-27
23;0;30;no;1;yes;"{""code"": ""15033"", ""name"": ""Place Violet"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1545433200, ""gps"": {""latitude"": 48.84487893836502, ""longitude"": 2.2905756533145905}}";0;yes;0;4;no;0;3;0;15033;Place Violet;Operative;yes;48.8448789384, 2.29057565331;2018-12-21
36;0;38;no;0;no;"{""code"": ""31024"", ""name"": ""Romainville - Vaillant-Couturier"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1550530800, ""gps"": {""latitude"": 48.86785, ""longitude"": 2.446748}}";0;yes;0;1;no;0;1;0;31024;Romainville - Vaillant-Couturier;Operative;yes;48.86785, 2.446748;2019-02-18
0;0;0;no;1;no;"{""code"": ""19033"", ""name"": ""Cambrai - Benjamin Constant"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1521154800, ""gps"": {""latitude"": 48.89594736851349, ""longitude"": 2.381133802246315}}";44;yes;19;21;no;44;4;0;19033;Cambrai - Benjamin Constant;Operative;yes;48.8959473685, 2.38113380225;2018-03-15
55;0;64;no;1;yes;"{""code"": ""7009"", ""name"": ""Assemblée Nationale"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1547980284, ""gps"": {""latitude"": 48.86141101465194, ""longitude"": 2.320121418520769}}";0;yes;0;7;no;0;2;0;7009;Assemblée Nationale;Operative;yes;48.8614110147, 2.32012141852;2019-01-20
17;0;21;no;1;no;"{""code"": ""8048"", ""name"": ""Marceau - Chaillot"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1527717600, ""gps"": {""latitude"": 48.86883394989261, ""longitude"": 2.2989967837929726}}";0;yes;0;3;no;0;1;0;8048;Marceau - Chaillot;Operative;yes;48.8688339499, 2.29899678379;2018-05-30
0;0;0;no;1;yes;"{""code"": ""12031"", ""name"": ""Gabriel Lamé"", ""state"": ""Operative"", ""type"": ""no"", ""dueDate"": 1519686027, ""gps"": {""latitude"": 48.8351212784276, ""longitude"": 2.385534569621086}}";36;yes;27;8;no;36;1;0;12031;Gabriel Lamé;Operative;no;48.8351212784, 2.38553456962;2018-02-26
21;0;21;no;1;no;"{""code"": ""5024"", ""name"": ""Place Monge"", ""state"": ""Close"", ""type"": ""yes"", ""dueDate"": 1548892800, ""gps"": {""latitude"": 48.842764450905456, ""longitude"": 2.352406606078148}}";21;yes;0;0;no;0;0;0;5024;Place Monge;Close;yes;48.8427644509, 2.35240660608;2019-01-31
