Identifiant de la station;Nom de la station;Capacité de la station;Lattitude;Longitude;Coordonnées géographiques
990000217;Les Planètes;16;48.8099849920804;2.4580853059887886;48.8099849921, 2.45808530599
129136818;Square du Carrefour de l'Insurrection;23;48.820864559770676;2.291113436222077;48.8208645598, 2.29111343622
39256416;Pajol - Riquet;47;48.88960028134536;2.3628534749150276;48.8896002813, 2.36285347492
101748685;Place Etienne Pernet;43;48.84243457133779;2.2921819612383847;48.8424345713, 2.29218196124
54000608;Porte d'Aubervilliers;55;48.89859661942376;2.3689722642302513;48.8985966194, 2.36897226423
102743096;Sadi Carnot - François Mitterrand;27;48.87532687671517;2.4241617321968083;48.8753268767, 2.4241617322
224256188;Beaujon - Wagram;29;48.87535245598514;2.2964416444301605;48.875352456, 2.29644164443
37903195;Transvaal - Charles de Gaulle;27;48.848280403628806;2.2373420120857195;48.8482804036, 2.23734201209
484423835;Président Wilson - Jean Jaures;27;48.89034054052266;2.2920683026313786;48.8903405405, 2.29206830263
84966359;Naples - Rome;26;48.879960700846226;2.321358695626259;48.8799607008, 2.32135869563
15291968;Place de Passy;15;48.85780291711202;2.277500546942199;48.8578029171, 2.27750054694
100863462;Musée d'Orsay;65;48.85972615790874;2.325860448181629;48.8597261579, 2.32586044818
7304;Bassano -  Iéna;15;48.868144510482075;2.296149600985935;48.8681445105, 2.29614960099
27364581;Parc de Choisy;25;48.828156251574946;2.358513532903332;48.8281562516, 2.3585135329
54000621;Ménilmontant - Père Lachaise;56;48.86328729150227;2.3869940266013145;48.8632872915, 2.3869940266
82381710;Batignolles - Rome;15;48.881823370566806;2.3202589899301524;48.8818233706, 2.32025898993
52329;Chernoviz - Raynouard;37;48.8569864146289;2.282173218142987;48.8569864146, 2.28217321814
452920451;Mont Valérien - Michel Salles;24;48.8561915;2.2152966;48.8561915, 2.2152966
256124192;Belleville - Pyrénées;43;48.8741908;2.3860039;48.8741908, 2.3860039
1020700136;Neuve Saint-Pierre - Beautreillis;20;48.85355351439652;2.3639122769236565;48.8535535144, 2.36391227692
102304517;Pereire - Place de Wagram;46;48.887070607581215;2.304111124531457;48.8870706076, 2.30411112453
129042700;Granges aux Belles - Hôpital Saint-Louis;61;48.874794994841274;2.366669436984963;48.8747949948, 2.36666943698
210737808;Aqueduc - Villette;28;48.883843;2.36711;48.883843, 2.36711
54000549;Villersexel - Saint-Germain;16;48.858297001217615;2.323793470859528;48.8582970012, 2.32379347086
54000546;Sénat - Condé;33;48.84954227788459;2.337939441204071;48.8495422779, 2.3379394412
66491408;Calmette;32;48.88104925098552;2.424993216991425;48.881049251, 2.42499321699
256403519;Place Pigalle;21;48.8827555;2.3361566;48.8827555, 2.3361566
452936197;Bois de Vincennes;60;48.8338064;2.4132221;48.8338064, 2.4132221
100872260;Duroc - Place de Breteuil;42;48.84746064114221;2.3126140236854558;48.8474606411, 2.31261402369
54000539;Hôtel de Ville - Pont-Marie;36;48.85389964552738;2.356947250664234;48.8538996455, 2.35694725066
54000541;Vieille du Temple - Francs Bourgeois;29;48.858256413365815;2.35821794718504;48.8582564134, 2.35821794719
30179848;Saint-Blaise - Mouraud;27;48.85696177597818;2.40869477391243;48.856961776, 2.40869477391
100910836;Parmentier - Fontaine au Roi;48;48.86787670551736;2.372705978671471;48.8678767055, 2.37270597867
15412563;Square Desnouettes;22;48.83476837934194;2.284142297394666;48.8347683793, 2.28414229739
27415297;Square Raymond Souplex;52;48.89183721478911;2.335426103165901;48.8918372148, 2.33542610317
54000607;Convention - Saint-Charles;19;48.84315611111599;2.2831090539693832;48.8431561111, 2.28310905397
36003;Pont de Lodi - Dauphine;26;48.855296898603285;2.339947307565249;48.8552968986, 2.33994730757
27415285;Place de Finlande;26;48.86240833596654;2.311362437903881;48.862408336, 2.3113624379
263732151;Gambetta - Michelet;32;48.85273792380526;2.429966032505036;48.8527379238, 2.42996603251
653035822;Jeûneurs - Mulhouse;28;48.868997;2.346925;48.868997, 2.346925
82328045;Victoria - Place du Chatelet;22;48.858018744217624;2.3469213030948755;48.8580187442, 2.34692130309
66491368;Sorbonne - Ecoles;50;48.84968656619092;2.3434996604919434;48.8496865662, 2.34349966049
66491371;Pierre Sarrazin - Saint-Michel;33;48.85090814639774;2.3421307280659676;48.8509081464, 2.34213072807
128932790;Arsène Houssaye - Champs-Elysées;29;48.87340927626732;2.2977904602885246;48.8734092763, 2.29779046029
82554786;Place de l'Eglise;30;48.892809461520265;2.4124351143836975;48.8928094615, 2.41243511438
266052390;Melun - Jean Jaurès;28;48.8837796723475;2.376477420330048;48.8837796723, 2.37647742033
34300292;Argenson - Château;25;48.888559314669514;2.2642001509666447;48.8885593147, 2.26420015097
84983562;Roquette - Folie Regnault;53;48.85961917660904;2.3864468559622765;48.8596191766, 2.38644685596
262607058;Charles de Gaulle - Plateau de Vanves;33;48.82233088973263;2.298571803412886;48.8223308897, 2.29857180341
54000567;Montreuil - Voltaire;34;48.85050701184191;2.393075558274471;48.8505070118, 2.39307555827
221038698;Mahatma Gandhi;0;48.876356;2.264205;48.876356, 2.264205
653076373;Porte Jaune;0;48.83812672;2.460555428;48.83812672, 2.460555428
392576677;Senard - Charles Blum;24;48.857315824799;2.221091687679291;48.8573158248, 2.22109168768
338853596;Charles de Gaulle - Orléans;26;48.88092225101522;2.271581590175629;48.880922251, 2.27158159018
15310509;Choron - Martyrs;17;48.877851443502536;2.3396701365709305;48.8778514435, 2.33967013657
213995665;Square Edmond Pépin;30;48.88365620689917;2.4033531546592717;48.8836562069, 2.40335315466
27362949;Louis Blanc - Jemmapes;31;48.879330755297346;2.368448562920093;48.8793307553, 2.36844856292
404947652;Place Fernand Forest;33;48.849269143835926;2.2818631678819656;48.8492691438, 2.28186316788
214114469;Gare de Nogent-le-Perreux;32;48.83859390717572;2.4937737733125687;48.8385939072, 2.49377377331
653122771;Marc Sangnier - Division Leclerc;0;48.78603915760351;2.3299545049667363;48.7860391576, 2.32995450497
653129435;Neuilly - Petit;16;48.899288035838254;2.2966924309730534;48.8992880358, 2.29669243097
362178041;Place Jules Ferry;28;48.812107928414775;2.325837314128876;48.8121079284, 2.32583731413
422639331;Mairie de Neuilly sur Seine;31;48.88494728765838;2.2677031159400944;48.8849472877, 2.26770311594
96512532;Joseph Sansboeuf - Saint Lazare;18;48.87531563065266;2.3229019716382027;48.8753156307, 2.32290197164
311552027;Temple - Charlot;45;48.86570934379584;2.365273725072355;48.8657093438, 2.36527372507
213691137;Carnot - Général Lanrezac;30;48.8754438707356;2.2938242935035684;48.8754438707, 2.2938242935
129079313;Commerce - Letellier;45;48.84797660373612;2.2966245196598805;48.8479766037, 2.29662451966
457834134;André Maurois - Joseph et Marie Hackin;29;48.8778983;2.2789591;48.8778983, 2.2789591
210745258;Jean-Pierre Timbaud - Vaucouleurs;47;48.867937;2.377885;48.867937, 2.377885
303102719;Brancion - Lefebvre;11;48.82900222785569;2.301431038163409;48.8290022279, 2.30143103816
27313492;Petites Ecuries - Faubourg Saint-Denis;28;48.87287120589831;2.3542150855064397;48.8728712059, 2.35421508551
653126035;Vanne - Saussaies;0;48.786404;2.338848;48.786404, 2.338848
6295;Pontoise - La Tournelle;23;48.85045800918843;2.352454275492188;48.8504580092, 2.35245427549
35101194;Place de l'Insurrection d'Août 1944;31;48.81477852751594;2.398074567317963;48.8147785275, 2.39807456732
129101773;Caulaincourt - Place Constantin Pecqueur;44;48.8896779050281;2.33817871442611;48.889677905, 2.33817871443
453172172;Porte d'Italie;13;48.817161987718954;2.360236309468746;48.8171619877, 2.36023630947
368766689;Westermeyer - Paul Vaillant-Couturier;25;48.819116181578764;2.3966637253761296;48.8191161816, 2.39666372538
402212574;Charles de Gaulle - Graviers;28;48.88315175918637;2.2648814320564274;48.8831517592, 2.26488143206
312870435;Dunkerque - Trudaine;16;48.88215166773376;2.3463253676891327;48.8821516677, 2.34632536769
82550543;Place de Barcelone - Mirabeau;55;48.84762302736417;2.2735664248466496;48.8476230274, 2.27356642485
84958519;Arcole - Notre-Dame;31;48.85388354132773;2.3493797332048416;48.8538835413, 2.3493797332
213894629;Square Denise Buisson;45;48.8562322730982;2.426436245441437;48.8562322731, 2.42643624544
82499609;Convention - Lourmel;36;48.84205217310643;2.2859314084053044;48.8420521731, 2.28593140841
213999554;Jean Jaurès - Ouvrières Pivéreuses;20;48.91042343752563;2.399576604366303;48.9104234375, 2.39957660437
101491821;Jean Moulin - Place Victor et Hélène Basch;43;48.82764910240992;2.326196730136872;48.8276491024, 2.32619673014
38327;Victor Hugo - La Pompe;41;48.86795222470859;2.28146318346262;48.8679522247, 2.28146318346
653083263;Lucien Bossoutrot - Général Martial Vallin;0;48.83712;2.270967;48.83712, 2.270967
439750210;Italie - Jardin Joan Miro;26;48.81990914045756;2.3592948541045193;48.8199091405, 2.3592948541
13720513;Goubet - Darius Milhaud;23;48.88466206560529;2.390209687445294;48.8846620656, 2.39020968745
428088564;La Jarry - Place Diderot;25;48.849797539941804;2.4516704678535466;48.8497975399, 2.45167046785
39151458;Goutte d'or - Barbès;20;48.88512432362698;2.349696233868599;48.8851243236, 2.34969623387
38522;Douai - Pierre Fontaine;25;48.88229101148092;2.33324121683836;48.8822910115, 2.33324121684
488889101;Bessières - Porte de Clichy;33;48.89611762451474;2.31790903955698;48.8961176245, 2.31790903956
100923502;Crozatier - Faubourg Saint-Antoine;30;48.8504400134045;2.37890136621104;48.8504400134, 2.37890136621
76121343;Abbé Groult - Convention;12;48.83585572328873;2.302201688289643;48.8358557233, 2.30220168829
285001735;Vivienne - Montmartre;39;48.8713475973833;2.341458834707737;48.8713475974, 2.34145883471
653087914;Marne - Charles de Gaulle;27;48.815071719544434;2.4121668934822087;48.8150717195, 2.41216689348
101738550;Didot - Place de Moro-Giafferi;22;48.8337;2.3215;48.8337, 2.3215
