Nom gare;Code Gare;Type jour;Year;Date de comptage;Ligne;Tranche horaire;Montants
CERGY SAINT-CHRISTOPHE;87382499;Samedi;2014.0;2014-05-17;A;De 6h à 10h;962
NEUVILLE UNIVERSITE;87334482;Dimanche;2014.0;2014-05-18;A;De 16h à 20h;397
CERGY PREFECTURE;87381905;Samedi;2014.0;2014-05-17;A;De 10h à 16h;5085
ACHERES GRAND CORMIER;87386052;JOB;2018.0;2018-03-27;A;Après 20h;40
SEVRAN BEAUDOTTES;87271445;JOB;2014.0;2014-03-27;B;Après 20h;685
VILLEPINTE;87271452;Dimanche;2014.0;2014-03-30;B;De 10h à 16h;804
MAISONS LAFFITTE;87386425;Samedi;2014.0;2014-05-17;A;Avant 6h;61
MITRY CLAYE;87271528;Samedi;2014.0;2014-03-29;B;De 16h à 20h;512
SARTROUVILLE;87386417;Dimanche;2014.0;2014-05-18;A;Avant 6h;34
VERT GALANT;87271437;JOB;2014.0;2014-03-27;B;De 16h à 20h;2216
VILLEPARISIS MITRY LE NEUF;87271510;Samedi;2014.0;2014-03-29;B;De 16h à 20h;912
LA COURNEUVE AUBERVILLIERS;87271304;Dimanche;2014.0;2014-03-30;B;De 16h à 20h;3875
SEVRAN BEAUDOTTES;87271445;Samedi;2014.0;2014-03-29;B;De 6h à 10h;2001
LE BLANC MESNIL;87271478;Samedi;2014.0;2014-03-29;B;De 6h à 10h;952
LE BLANC MESNIL;87271478;Dimanche;2014.0;2014-03-30;B;Après 20h;278
AULNAY SOUS BOIS;87271411;Dimanche;2014.0;2014-03-30;B;Avant 6h;172
VILLEPINTE;87271452;Dimanche;2014.0;2014-03-30;B;De 6h à 10h;355
VILLEPINTE;87271452;JOB;2014.0;2014-03-27;B;De 10h à 16h;784
VILLEPINTE;87271452;Samedi;2014.0;2014-03-29;B;Après 20h;309
VILLEPINTE;87271452;Samedi;2014.0;2014-03-29;B;Avant 6h;105
VILLEPARISIS MITRY LE NEUF;87271510;JOB;2014.0;2014-03-27;B;Avant 6h;157
LE BLANC MESNIL;87271478;Samedi;2014.0;2014-03-29;B;De 10h à 16h;1476
SEVRAN LIVRY;87271429;Dimanche;2014.0;2014-03-30;B;De 10h à 16h;1802
PARIS NORD;87271007;Dimanche;2014.0;2014-03-30;B;De 16h à 20h;24845
MITRY CLAYE;87271528;Samedi;2014.0;2014-03-29;B;De 6h à 10h;419
PARIS NORD;87271007;JOB;2014.0;2014-03-27;B;De 10h à 16h;35345
MITRY CLAYE;87271528;JOB;2014.0;2014-03-27;B;Après 20h;215
DRANCY;87271403;JOB;2014.0;2014-03-27;B;De 10h à 16h;2737
MITRY CLAYE;87271528;JOB;2014.0;2014-03-27;B;Avant 6h;66
LE BOURGET;87271395;JOB;2014.0;2014-03-27;B;Avant 6h;973
CERGY SAINT-CHRISTOPHE;87382499;Dimanche;2014.0;2014-05-18;A;De 10h à 16h;1581
CERGY SAINT-CHRISTOPHE;87382499;Samedi;2014.0;2014-05-17;A;De 16h à 20h;1728
CERGY SAINT-CHRISTOPHE;87382499;JOB;2018.0;2018-03-27;A;De 10h à 16h;2726
NEUVILLE UNIVERSITE;87334482;Samedi;2014.0;2014-05-17;A;De 16h à 20h;408
MAISONS LAFFITTE;87386425;Dimanche;2014.0;2014-05-18;A;De 10h à 16h;1884
CERGY SAINT-CHRISTOPHE;87382499;JOB;2018.0;2018-03-27;A;Après 20h;401
CERGY PREFECTURE;87381905;JOB;2018.0;2018-03-27;A;De 10h à 16h;5344
CERGY PREFECTURE;87381905;JOB;2018.0;2018-03-27;A;De 6h à 10h;4959
CERGY PREFECTURE;87381905;Samedi;2014.0;2014-05-17;A;Après 20h;1405
ACHERES VILLE;87381657;JOB;2018.0;2018-03-27;A;Après 20h;104
AEROPORT CHARLES DE GAULLE 1;87271460;Samedi;2014.0;2014-03-29;B;Après 20h;741
