Pays;Secteur;Type;Nom;WGS 84;Adresse;Département;Code postal;Ville;Lundi;Mardi;Mercredi;Jeudi;Vendredi ;Samedi;Dimanche et fêtes;Ouvert le lundi;Ouvert le mardi;Ouvert le mercredi;Ouvert le jeudi;Ouvert le vendredi;Ouvert le samedi;Ouvert le dimanche;Rendez-vous;GUICHET VENTE VOYAGES;BLS
(borne libre service);lu;ma;me;je;ve;LU - VE;Ouvert lundi - vendredi;Particularités;Particularités EN;Particularités ES;Particularités DE;Particularités IT;Particularités NL;Dates d'ouverture
si pdv saisonnier;Dates d'ouverture si pdv saisonnier EN;Dates d'ouverture si pdv saisonnier ES;Dates d'ouverture si pdv saisonnier DE;Dates d'ouverture si pdv saisonnier IT;Dates d'ouverture si pdv saisonnier NL;Si travaux, 
dates de fermeture;Si travaux, dates de fermeture EN;Si travaux, dates de fermeture ES;Si travaux, dates de fermeture DE;Si travaux, dates de fermeture IT;Si travaux, dates de fermeture NL;URL profonde service rendez-vous 
France;NORD;Gare;EPERNON;48.60508434, 1.68167617;Place de la Gare;28;28230.0;Epernon;5:50-12:45 & 12:45-20:05;5:50-12:45 & 12:45-20:05;5:50-12:45 & 12:45-20:05;5:50-12:45 & 12:45-20:05;5:50-12:45 & 12:45-20:05;8:55-16:10;13:25-20:35;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;ETAMPES;48.436501, 2.159764;Place du Général Leclerc;91;91150.0;Etampes;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;Non;Oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;JOUY;48.511123, 1.55859119;32 avenue de la Gare;28;28300.0;Jouy;6:05-13:20;6:05-13:20;6:05-13:20;6:05-13:20;6:05-13:20;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;LA VILLETTE ST PREST;48.48236907, 1.52345359;Rue de la Gare;28;28300.0;St Prest;6:05-13:20;6:05-13:20;6:05-13:20;6:05-13:20;6:05-13:20;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BOUTIQUE;COMMERCE;48.84738117, 2.29615286;33 rue du Commerce;75;75015.0;PARIS;9:00-20:00;9:00-20:00;9:00-20:00;9:00-20:00;10:00-18:00;10:00-18:00;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;oui;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;http://www.rendezvous.sncf.com/boutiquecommerce
France;ILE-DE-FRANCE;BOUTIQUE;DENFERT ROCHEREAU;48.833358, 2.331889;3 avenue du Général Leclerc;75;75014.0;PARIS;8:30-20:00;8:30-20:00;8:30-20:00;8:30-20:00;8:30-20:00;10:00-18:00;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;oui;oui;non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;http://www.rendezvous.sncf.com/boutiquedenfertrochereau
France;ILE-DE-FRANCE;BLS SEULE;MONOPRIX LOSSERAND;48.831514, 2.313515;117 -119 rue Losserand;75;75014.0;PARIS;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;non;oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BOUTIQUE;LUXEMBOURG;48.84790175, 2.3412399;54 boulevard St Michel;75;75006.0;PARIS;8:15-19:45;8:15-19:45;9:00-19:45;8:15-19:45;8:15-19:45;10:00-18:00;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;oui;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;boutique fermée pour travaux du 17/08 au 12/09/2015;;;;;;http://www.rendezvous.sncf.com/boutiqueluxembourg
France;ILE-DE-FRANCE;BOUTIQUE;LES OLYMPIADES;48.8266252, 2.36456939;105 rue de Tolbiac;75;75013.0;PARIS;10:00-18:00;10:00-18:00;10:00-18:00;10:00-18:00;10:00-18:00;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;oui;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;http://www.rendezvous.sncf.com/boutiqueolympiades
France;ILE-DE-FRANCE;BOUTIQUE;NEUILLY PORTE MAILLOT;48.8774347573, 2.28374333155;82 avenue de la Grande Armée;75;75017.0;PARIS;9:30-19:00;9:30-19:00;9:30-19:00;9:30-19:00;9:30-19:00;10:30-17:30;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;oui;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;http://www.rendezvous.sncf.com/boutiqueneuillyportemaillot
France;ILE-DE-FRANCE;GARE;PARIS MONTPARNASSE 3 VAUGIRARD;48.838638, 2.315602;7 rue du Cotentin;75;75015.0;PARIS;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;08:00-20:00;08:00-20:00;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;non;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;GARE;RAMBOUILLET;48.6440164575, 1.83037629189;1 place Fernand Prudhomme;78;78120.0;RAMBOUILLET;7:25-14:40;10:40-13:00 & 14:00-18:55;10:40-13:00 & 14:00-18:55;10:40-13:00 & 14:00-18:55;10:40-13:00 & 14:00-18:55;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;STE GENEVIEVE DES BOIS;48.653753, 2.313865;Place de la Gare;91;91700.0;Sainte Geneviève des Bois;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;NON;oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
France;ILE-DE-FRANCE;BLS SEULE;VITRY SUR SEINE;48.80125635, 2.40204447;2 cour de la Gare;94;94400.0;Vitry sur Seine;;;;;;;;n/a;n/a;n/a;n/a;n/a;n/a;n/a;non;non;Oui;0.0;0.0;0.0;0.0;0.0;0.0;n/a;;;;;;;;;;;;;;;;;;;
