ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard;empty;empty;empty
TRA_1;2013-01;RER;A;RER A;83.6;5.1;;;
TRA_2;2013-02;RER;B;RER B;80.3;4.1;;;
TRA_6;2013-02;Transilien;H;Paris Nord Ouest;92.7;12.7;;;
TRA_8;2013-02;Transilien;K;Paris Nord Crépy;75.2;3.0;;;
TRA_11;2013-02;Transilien;P;Paris Est;89.4;8.4;;;
TRA_4;2013-03;RER;D;RER D;80.0;4.0;;;
TRA_6;2013-03;Transilien;H;Paris Nord Ouest;92.3;12.0;;;
TRA_8;2013-03;Transilien;K;Paris Nord Crépy;77.3;3.4;;;
TRA_1;2013-04;RER;A;RER A;83.3;5.0;;;
TRA_6;2013-04;Transilien;H;Paris Nord Ouest;94.6;17.5;;;
TRA_5;2013-05;RER;E;RER E;95.5;21.2;;;
TRA_7;2013-05;Transilien;J;Paris Saint-Lazare Nord;91.5;10.8;;;
TRA_8;2013-05;Transilien;K;Paris Nord Crépy;81.3;4.3;;;
TRA_11;2013-05;Transilien;P;Paris Est;90.4;9.4;;;
TRA_10;2013-07;Transilien;N;Paris Montparnasse;93.2;13.7;;;
TRA_1;2013-08;RER;A;RER A;88.9;8.0;;;
TRA_2;2013-08;RER;B;RER B;89.9;8.9;;;
TRA_5;2013-08;RER;E;RER E;95.4;20.7;;;
TRA_7;2013-08;Transilien;J;Paris Saint-Lazare Nord;89.2;8.3;;;
TRA_9;2013-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9;;;
TRA_10;2013-08;Transilien;N;Paris Montparnasse;96.0;24.0;;;
TRA_2;2013-09;RER;B;RER B;86.6;6.5;;;
TRA_5;2013-09;RER;E;RER E;96.8;30.3;;;
TRA_11;2013-09;Transilien;P;Paris Est;88.0;7.3;;;
TRA_13;2013-09;Transilien;U;La Verrière - La Défense;92.9;13.1;;;
TRA_7;2013-10;Transilien;J;Paris Saint-Lazare Nord;83.2;5.0;;;
TRA_5;2013-11;RER;E;RER E;92.0;11.5;;;
TRA_9;2013-11;Transilien;L;Paris Saint-Lazare Sud;77.8;3.5;;;
TRA_10;2013-11;Transilien;N;Paris Montparnasse;88.1;7.4;;;
TRA_11;2013-11;Transilien;P;Paris Est;82.8;4.8;;;
TRA_12;2013-11;Transilien;R;Paris Sud Est;82.5;4.7;;;
TRA_7;2013-12;Transilien;J;Paris Saint-Lazare Nord;84.4;5.4;;;
TRA_4;2014-01;RER;D;RER D;86.0;6.1;;;
TRA_5;2014-01;RER;E;RER E;93.6;14.6;;;
TRA_6;2014-01;Transilien;H;Paris Nord Ouest;95.9;23.4;;;
TRA_8;2014-01;Transilien;K;Paris Nord Crépy;76.6;3.3;;;
TRA_1;2014-02;RER;A;RER A;85.7;6.0;;;
TRA_4;2014-02;RER;D;RER D;88.2;7.5;;;
TRA_7;2014-02;Transilien;J;Paris Saint-Lazare Nord;85.4;5.8;;;
TRA_8;2014-02;Transilien;K;Paris Nord Crépy;84.4;5.4;;;
TRA_2;2014-03;RER;B;RER B;87.9;7.3;;;
TRA_12;2014-03;Transilien;R;Paris Sud Est;91.5;10.8;;;
TRA_6;2014-04;Transilien;H;Paris Nord Ouest;95.7;22.3;;;
TRA_11;2014-04;Transilien;P;Paris Est;87.9;7.3;;;
TRA_13;2014-04;Transilien;U;La Verrière - La Défense;94.5;17.2;;;
TRA_3;2014-05;RER;C;RER C;91.7;11.0;;;
TRA_6;2014-05;Transilien;H;Paris Nord Ouest;96.9;31.3;;;
TRA_13;2014-05;Transilien;U;La Verrière - La Défense;94.0;15.7;;;
TRA_8;2014-06;Transilien;K;Paris Nord Crépy;79.6;3.9;;;
TRA_2;2014-07;RER;B;RER B;86.9;6.6;;;
TRA_4;2014-07;RER;D;RER D;86.6;6.5;;;
TRA_13;2014-07;Transilien;U;La Verrière - La Défense;93.3;13.9;;;
TRA_3;2014-08;RER;C;RER C;93.9;15.4;;;
TRA_7;2014-09;Transilien;J;Paris Saint-Lazare Nord;84.6;5.5;;;
TRA_13;2014-09;Transilien;U;La Verrière - La Défense;95.9;23.4;;;
TRA_4;2014-10;RER;D;RER D;81.4;4.4;;;
TRA_5;2014-10;RER;E;RER E;94.0;15.7;;;
