ID;Date;Région;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée;Commentaires
TER_1;2013-01;Alsace;20095;19874;221;897;95.5;21.2;Intempéries.
TER_3;2013-01;Auvergne;5785;5732;53;431;92.5;12.3;Conditions météos défavorables.
TER_14;2013-01;Midi Pyrénées;8208;7941;267;903;88.6;7.8;
TER_19;2013-01;Provence Alpes Côte d'Azur;13956;13219;737;1816;86.3;6.3;
TER_7;2013-02;Centre;8979;8830;149;629;92.9;13.0;
TER_14;2013-02;Midi Pyrénées;7657;7455;202;915;87.7;7.1;Intempéries.
TER_3;2013-03;Auvergne;5099;5045;54;371;92.6;12.6;Problèmes sur le matériel roulant.
TER_5;2013-03;Bourgogne;7949;7646;303;634;91.7;11.1;Le meilleur mois de mars depuis 2007 en terme de ponctualité avec des bons résultats sur la quasi-totalité des axes.
TER_6;2013-03;Bretagne;8363;8208;155;924;88.7;7.9;Perte de régularité supérieure à 6 points en global région à cause des limitations de vitesse pour travaux entre Rennes et Redon.
TER_8;2013-03;Champagne Ardenne;6597;6421;176;378;94.1;16.0;Conditions météorologiques dégradées du 12 au 14 mars (neige et froid inhabituels à cette période de l'année).
TER_10;2013-03;Haute Normandie;5444;5320;124;326;93.9;15.3;Episodes neigeux.
TER_15;2013-03;Nord Pas de Calais;18744;17096;1648;1689;90.1;9.1;Intempéries les 12 et 13 mars.
TER_20;2013-03;Rhône Alpes;29670;29424;246;3644;87.6;7.1;Dérangements sur l'infrastructure.
TER_1;2013-04;Alsace;18846;18726;120;581;96.9;31.2;
TER_6;2013-04;Bretagne;8371;8276;95;579;93.0;13.3;Régularité encore perturbée par les travaux entre Rennes et Redon (fin le 26 avril)
TER_7;2013-04;Centre;9327;9241;86;561;93.9;15.5;
TER_7;2013-05;Centre;9017;8952;65;418;95.3;20.4;
TER_8;2013-05;Champagne Ardenne;6463;6442;21;225;96.5;27.6;
TER_12;2013-05;Limousin;3944;3897;47;171;95.6;21.8;
TER_4;2013-06;Basse Normandie;3186;3063;123;183;94.0;15.7;Plusieurs mouvements sociaux (dont l'un à PSL suite à l'agression d'un ASCT).
TER_14;2013-06;Midi Pyrénées;8381;8140;241;640;92.1;11.7;Intempéries.
TER_20;2013-06;Rhône Alpes;26957;26586;371;3162;88.1;7.4;
