Code UIC;uic7;Libelle point d'arret;Libelle;Libelle STIF (info voyageurs);Libelle SMS gare;Nom Gare;Adresse;Code INSEE commune;Commune;X (Lambert II etendu);Y (Lambert II etendu);Coord GPS (WGS84);Zone Navigo;Gare non SNCF
87386664;873866;LES CLAIRIERES DE VERNEUIL;LES CLAIRIERES DE VERNEUIL;GARE DES CLAIRIERES DE VERNEUIL;Clairières;Les Clairières de Verneuil;Place de la Résistance 78480 Verneuil Sur Seine;78642;Verneuil-sur-Seine;572076.0;2443870.0;48.9923583678, 1.95517622117;5.0;0.0
87386409;873864;HOUILLES CARRIERES SUR SEINE;HOUILLES CARRIERES SUR SEINE;GARE DE HOUILLES CARRIERES SUR SEINE;Houilles-C.;Houilles - Carrières-sur-Seine;Place André Malraux (Rond point);78311;Houilles;588854.0;2435854.0;48.9208344027, 2.18450665388;4.0;0.0
87382432;873824;LA CELLE SAINT-CLOUD;LA CELLE SAINT-CLOUD;GARE DE LA CELLE ST CLOUD;La Celle;La Celle-Saint-Cloud;Place Jean Mermoz 78170 La Celle Saint Cloud;78126;La Celle-Saint-Cloud;585419.0;2427150.0;48.8425404524, 2.1379646985;4.0;0.0
87386318;873863;NANTERRE UNIVERSITE;NANTERRE UNIVERSITE;GARE DE NANTERRE UNIVERSITE;Nanterre-U.;Nanterre Université;33 Boulevard des Provinces Françaises 92000 Nanterre;92050;Nanterre;591099.0;2433704.0;48.9015475909, 2.21516720292;3.0;0.0
87386425;873864;MAISONS LAFFITTE;MAISONS LAFFITTE;GARE DE MAISONS LAFFITTE;Maisons-L.;Maisons-Laffitte;Place de la Libération par l'avenue du Général De Gaulle;78358;Maisons-Laffitte;585938.0;2438651.0;48.9459130297, 2.14464783894;4.0;0.0
87382341;873823;SEVRES VILLE D'AVRAY;SEVRES VILLE D'AVRAY;GARE DE SEVRES VILLE D AVRAY;Sèvres-V.A.;Sèvres - Ville-d'Avray;Place Pierre Brosselette 92310 Sèvres;92072;Sèvres;590013.0;2425458.0;48.8274217325, 2.20055846234;3.0;0.0
87383281;873832;MASSY VERRIERES;MASSY VERRIERES;GARE DE MASSY VERRIERES RER C;Massy V.;Massy - Verrières-le-Buisson;2 bis, Avenue de la Gare 91300 Massy;91377;Massy;595337.0;2415144.0;48.7347809541, 2.27314560366;4.0;0.0
87382374;873823;SURESNES MONT VALERIEN;SURESNES MONT VALERIEN;GARE DE SURESNES MONT VALERIEN;Suresnes-MV;Suresnes Mont Valérien;Rue Worth 92150 Suresnes;92073;Suresnes;591530.0;2430383.0;48.8717069629, 2.22110944905;3.0;0.0
87386680;873866;LES MUREAUX;LES MUREAUX;GARE DES MUREAUX;Les Mureaux;Les Mureaux;Place du 8 Mai 1945 78130 Les Mureaux;78440;Les Mureaux;568991.0;2443920.0;48.9926654868, 1.9130448593;5.0;0.0
87386003;873860;LA GARENNE COLOMBES;LA GARENNE COLOMBES;GARE DE LA GARENNE COLOMBES;La Garenne;La Garenne-Colombes;;92035;La Garenne-Colombes;592916.0;2434579.0;48.9094340652, 2.23992160213;3.0;0.0
