Geo Point;Geo Shape;id_ref_zdl;nom_long;label;idrefliga;idrefligc;res_com;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.8463569889, 2.41947990037;"{""type"": ""Point"", ""coordinates"": [2.41947990037451, 48.84635698889295]}";47247;SAINT-MANDE;Saint-Mandé;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;657397.0779;6860857.928
48.8662858046, 2.32294341224;"{""type"": ""Point"", ""coordinates"": [2.322943412243542, 48.866285804583875]}";45676;CONCORDE;Concorde;A01534 / A01541 / A01545;C01371 / C01378 / C01382;M1 / M8 / M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650331.6676;6863130.2462
48.8828686476, 2.34413063372;"{""type"": ""Point"", ""coordinates"": [2.344130633722553, 48.88286864756839]}";42210;ANVERS;Anvers;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651901.2249;6864961.0235
48.9078125468, 2.45435282652;"{""type"": ""Point"", ""coordinates"": [2.454352826517924, 48.90781254678193]}";47334;JEAN ROSTAND;Jean Rostand;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;660003.4947;6867673.1933
48.8930946286, 2.48791098763;"{""type"": ""Point"", ""coordinates"": [2.487910987625008, 48.8930946286382]}";44603;LA REMISE A JORELLE;La Remise à Jorelle;A01761;C01843;T4;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;662452.6934;6866020.1281
48.8574714089, 2.22060356003;"{""type"": ""Point"", ""coordinates"": [2.220603560028727, 48.85747140891035]}";47370;LES COTEAUX;Les Coteaux;A01192;C01390;T2;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;642814.6512;6862219.4104
48.9024441906, 2.51169930327;"{""type"": ""Point"", ""coordinates"": [2.51169930327069, 48.902444190569966]}";46521;LES PAVILLONS-SOUS-BOIS;Les Pavillons-sous-Bois;A01761;C01843;T4;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;664203.3028;6867048.7229
48.9069318321, 2.43862449586;"{""type"": ""Point"", ""coordinates"": [2.43862449586348, 48.90693183212792]}";43805;LIBERATION;Libération;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;658849.9146;6867583.3418
48.8191743291, 2.23859833779;"{""type"": ""Point"", ""coordinates"": [2.238598337792144, 48.819174329133155]}";44137;MEUDON-SUR-SEINE;Meudon-Sur-Seine;A01192;C01390;T2;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;644093.8494;6857948.3523
48.9047032038, 2.46997154361;"{""type"": ""Point"", ""coordinates"": [2.469971543614439, 48.90470320377428]}";44471;PONT DE BONDY;Pont de Bondy;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;661146.0246;6867319.644
48.8195005099, 2.34580357984;"{""type"": ""Point"", ""coordinates"": [2.3458035798426, 48.81950050990105]}";44892;STADE CHARLETY (PORTE DE GENTILLY);Stade Charléty;A01193;C01391;T3A;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;651965.5328;6857914.0606
48.8822269008, 2.32127492677;"{""type"": ""Point"", ""coordinates"": [2.321274926766349, 48.88222690081934]}";44662;ROME;Rome;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650224.5081;6864903.8302
48.8804494561, 2.30945116799;"{""type"": ""Point"", ""coordinates"": [2.309451167991542, 48.8804494561385]}";44146;MONCEAU;Monceau;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649355.6855;6864713.7086
48.862949833, 2.387434951;"{""type"": ""Point"", ""coordinates"": [2.387434950999083, 48.862949833042585]}";44310;PERE LACHAISE;Père Lachaise;A01535 / A01536;C01372 / C01373;M2 / M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;655059.738;6862720.6773
48.8738067339, 2.32699985888;"{""type"": ""Point"", ""coordinates"": [2.326999858880872, 48.87380673386256]}";58718;HAVRE-CAUMARTIN;Havre-Caumartin;A01536 / A01542;;M3 / M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650636.3658;6863963.9719
48.8828919175, 2.30905226455;"{""type"": ""Point"", ""coordinates"": [2.309052264550479, 48.88289191745413]}";59370;MALESHERBES;Malesherbes;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649328.8075;6864985.5498
48.8887060198, 2.28808363305;"{""type"": ""Point"", ""coordinates"": [2.288083633048504, 48.88870601977514]}";51613;LOUISE MICHEL;Louise Michel;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;647796.9264;6865645.6998
48.8837344657, 2.34963614827;"{""type"": ""Point"", ""coordinates"": [2.349636148269586, 48.88373446574697]}";42280;BARBES-ROCHECHOUART;Barbès-Rochechouart;A01535 / A01537;C01372 / C01374;M2 / M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652305.7606;6865053.9577
48.8623162796, 2.34567382821;"{""type"": ""Point"", ""coordinates"": [2.345673828211428, 48.8623162795949]}";417675;LES HALLES;Les Halles;A01537;C01374;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651995.4564;6862674.8092
48.853718934, 2.33377613822;"{""type"": ""Point"", ""coordinates"": [2.333776138218468, 48.853718934000206]}";44799;SAINT-GERMAIN-DES-PRES;Saint-Germain-des-Près;A01537;C01374;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651114.5389;6861726.1589
