Geo Point;Geo Shape;GR_ID;GR_NOM;ZDL_ID;ZDL_NOM;LDA_ID;LDA_NOM;GARE_NOM;INSEE_TXT;COMM_NOM;DPT_ID;ACCES_PMR
49.0494218489, 2.50105048357;"{""type"": ""Polygon"", ""coordinates"": [[[2.500977267592905, 49.04953052129926], [2.501129746039763, 49.04944390113553], [2.50129125321607, 49.049401636012455], [2.501429807719462, 49.049401437841425], [2.501572103301075, 49.04950611619257], [2.501707143119078, 49.04946480442167], [2.501400863578583, 49.04924656207984], [2.501302619909751, 49.04922521782528], [2.501112822993349, 49.049239656431524], [2.500944499173996, 49.04929121027865], [2.500501218753999, 49.049534703989224], [2.500710224296595, 49.049684410067485], [2.500977267592905, 49.04953052129926]]]}";467;Louvres;44628;Louvres (Gare);69300;Louvres (Gare);LOUVRES;95351;Louvres;95;Oui
49.0473742208, 2.01046691597;"{""type"": ""Polygon"", ""coordinates"": [[[2.010591273372957, 49.04777918988642], [2.01108764448658, 49.047478202299374], [2.010356830992678, 49.046968147784156], [2.009840605242009, 49.0472761671827], [2.010591273372957, 49.04777918988642]]]}";124;Cergy-le-Haut;43104;Cergy Le Haut;66834;Cergy Le Haut;CERGY LE HAUT;95127;Cergy;95;Non
48.7956685608, 1.60272716654;"{""type"": ""Polygon"", ""coordinates"": [[[1.60215152428762, 48.79548678336702], [1.602260907499275, 48.795898497771816], [1.603253554007785, 48.79585974090363], [1.603243214849871, 48.795442437905564], [1.60215152428762, 48.79548678336702]]]}";337;Houdan;47935;Houdan (Gare);63893;Houdan (Gare);HOUDAN;78310;Houdan;78;Partielle
48.9456749988, 2.14374836898;"{""type"": ""Polygon"", ""coordinates"": [[[2.143481455499362, 48.94543727098321], [2.143645414696278, 48.94581896342925], [2.143597877320851, 48.94588738253309], [2.143675298141106, 48.94603540916581], [2.143980996112607, 48.94582887122183], [2.144011950983758, 48.94576976452018], [2.143805519278394, 48.94536931917122], [2.143481455499362, 48.94543727098321]]]}";490;Maisons-Laffitte;43155;Maisons-Laffitte (Gare);65048;Maisons-Laffitte (Gare);MAISONS-LAFFITTE;78358;Maisons-Laffitte;78;Non
48.9461700633, 2.25762285656;"{""type"": ""Polygon"", ""coordinates"": [[[2.258416899005436, 48.94558485471959], [2.257857859602257, 48.94539297002873], [2.257026762782544, 48.94660957901073], [2.256812611819509, 48.94685610214056], [2.257201184780171, 48.946975114640516], [2.257264247929148, 48.9469085283298], [2.25731870996431, 48.94692374893893], [2.258416899005436, 48.94558485471959]]]}";22;Argenteuil;47875;Argenteuil (Gare);65063;Argenteuil (Gare);ARGENTEUIL;95018;Argenteuil;95;Partielle
48.5336379693, 2.00763508244;"{""type"": ""Polygon"", ""coordinates"": [[[2.00831573735716, 48.533346047214245], [2.007921438955619, 48.533422742673075], [2.007078508015232, 48.53354882889016], [2.006633584661457, 48.53373029564251], [2.006319669960691, 48.5338146260241], [2.006747082645683, 48.533827339721725], [2.006787777631919, 48.53389313740768], [2.006882712446548, 48.533909227919864], [2.00862341708777, 48.53366205997655], [2.008542164234961, 48.53343408150924], [2.008477810693135, 48.533384196037346], [2.00831573735716, 48.533346047214245]]]}";227;Dourdan;43121;Dourdan (Gare);59836;Dourdan (Gare);DOURDAN;91200;Dourdan;91;Non
48.8075101526, 2.03985708572;"{""type"": ""Polygon"", ""coordinates"": [[[2.04018812680559, 48.80740927253188], [2.040167145046719, 48.80737068684427], [2.039353263622711, 48.80749349931338], [2.039380945355937, 48.807593986271954], [2.040301920327482, 48.80759521801653], [2.04018812680559, 48.80740927253188]]]}";275;Fonteny-le-Fleury;47884;Fontenay-le-Fleury (Gare);63999;Fontenay-le-Fleury (Gare);FONTENAY-LE-FLEURY;78242;Fontenay-le-Fleury;78;
48.8534992313, 2.51346182623;"{""type"": ""Polygon"", ""coordinates"": [[[2.513901034621868, 48.85310016041356], [2.513667290172458, 48.85304603437031], [2.513625058784816, 48.85311148491552], [2.513340856064269, 48.85346376123175], [2.513059018335266, 48.85398474463386], [2.51321541705638, 48.85401506281423], [2.513480525003362, 48.85359898745431], [2.513901034621868, 48.85310016041356]]]}";568;Neuilly-Plaisance;43172;Neuilly-Plaisance (Gare);73190;Neuilly-Plaisance (Gare);NEUILLY-PLAISANCE;93049;Neuilly-Plaisance;93;Partielle
48.699482323, 2.50577239564;"{""type"": ""Polygon"", ""coordinates"": [[[2.505761574912842, 48.69986249178491], [2.506252741433821, 48.699328224196144], [2.506142103158564, 48.69916612830076], [2.506010571358062, 48.69902630729423], [2.505911405156256, 48.69909710973332], [2.505169756680775, 48.69969525141848], [2.505761574912842, 48.69986249178491]]]}";105;Brunoy;58873;Brunoy (Gare);67476;Brunoy (Gare);BRUNOY;91114;Brunoy;91;Non
48.8648735525, 2.41699787867;"{""type"": ""Polygon"", ""coordinates"": [[[2.417140211706896, 48.864425275070914], [2.417064684073375, 48.864406346659806], [2.416915075797267, 48.86443274462823], [2.416769282261042, 48.86450484652383], [2.416513456831491, 48.86474059875882], [2.416544385096257, 48.865070548738636], [2.41702899454241, 48.86527974998931], [2.417503195804902, 48.86525246883065], [2.417254113753628, 48.864495786615855], [2.417140211706896, 48.864425275070914]]]}";288;Métro Galliéni;47890;Gallieni;71817;Gallieni;GALLIENI (PARC DE BAGNOLET);93006;Bagnolet;93;Non
48.7713528343, 2.50818032769;"{""type"": ""Polygon"", ""coordinates"": [[[2.507919603010588, 48.771695059063774], [2.508195287545359, 48.77169914080823], [2.508195061052383, 48.77157862934768], [2.508417551566478, 48.77158212281741], [2.508453660376869, 48.771041899061494], [2.508217639709035, 48.7709896497776], [2.508208974639861, 48.77110592806397], [2.507946052621845, 48.77109734071384], [2.507919603010588, 48.771695059063774]]]}";799;Sucy-Bonneuil Est;58792;Sucy Bonneuil;72929;Sucy Bonneuil;SUCY-BONNEUIL;94071;Sucy-en-Brie;94;Non
