geo_point_2d;Geo Shape;ID_VELIGO;NOM_VELIGO;TYP_VELIGO;CONSIGNE;ABRIS;TOT_CONSIG;TOT_ABRIS;TOTAL;ETAT;DATE_MES;ANNEE_MES;MOA;EXPLOITANT;WWW;ID_REF_LDA;NOM_LDA;NOM_GARE;LIGNES;IDREFLIGA;IDREFLIGC;INSEE_TXT;NOM_COMM;DPT;X_L93;Y_L93
48.4362545386, 2.15925074927;"{""type"": ""Point"", ""coordinates"": [2.159250749267775, 48.43625453863931]}";61;ETAMPES;consigne;40;0;40;0;40;En service;2016-01-05;2016;SNCF;Kisio;http://veligo.transilien.com/fr/articles.php;59577;Étampes (Gare);ETAMPES;C;A01840;C01727;91223;Étampes;91;637814.0;6815439.0
48.9842658381, 2.35307429387;"{""type"": ""Point"", ""coordinates"": [2.353074293868923, 48.98426583807714]}";101;GROSLAY;consigne;20;0;20;0;20;En service;2017-01-04;2017;SNCF;Kisio;http://veligo.transilien.com/fr/articles.php;65749;Groslay (Gare);GROSLAY;H;A01849;C01737;95288;Groslay;95;652649.0;6876230.0
48.532902141, 2.29043908308;"{""type"": ""Point"", ""coordinates"": [2.290439083083977, 48.53290214100676]}";1;BOURAY;consigne;20;0;20;0;20;En service;2016-03-29;2016;SNCF;Kisio;http://veligo.transilien.com/fr/articles.php;59830;Bouray;BOURAY;C;A01840;C01727;91330;Lardy;91;647614.0;6826087.0
48.8145284171, 2.42272704009;"{""type"": ""Point"", ""coordinates"": [2.422727040093094, 48.81452841710435]}";94;ECOLE VETERINAIRE DE MAISONS-ALFORT;abri;0;20;0;20;20;En service;2016-01-01;2016;CD94;;;70522;École Vétérinaire de Maisons-Alfort;ECOLE VETERINAIRE DE MAISONS-ALFORT;M8;A01541;C01378;94046;Maisons-Alfort;94;657609.0;6857317.0
48.9705255465, 2.02785813687;"{""type"": ""Point"", ""coordinates"": [2.027858136874351, 48.97052554650922]}";60;CHANTELOUP-LES-VIGNES;abri;0;20;0;20;20;En service;2015-01-11;2015;CU Grand Paris Seine et Oise;;;65443;Chanteloup-les-Vignes (Gare);CHANTELOUP-LES-VIGNES;J;A01852;C01739;78138;Chanteloup-les-Vignes;78;628828.0;6874947.0
48.843351714, 2.46429831609;"{""type"": ""Point"", ""coordinates"": [2.464298316093268, 48.843351713963926]}";14;FONTENAY-SOUS-BOIS;abri;0;20;0;50;50;En service;2015-01-11;2015;CD94;;;71630;Fontenay-sous-Bois (Gare);FONTENAY-SOUS-BOIS;A;A01856;C01742;94033;Fontenay-sous-Bois;94;660683.0;6860500.0
48.764392745, 2.4106367324;"{""type"": ""Point"", ""coordinates"": [2.410636732401363, 48.76439274498646]}";88;CHOISY-LE-ROI RER;abri;0;12;0;48;48;En service;2017-01-01;2017;CD94;;;69852;Choisy-le-Roi (Gare);CHOISY-LE-ROI RER;C;A01840;C01727;94022;Choisy-le-Roi;94;656680.0;6851749.0
48.9505776759, 2.23132270678;"{""type"": ""Point"", ""coordinates"": [2.231322706777759, 48.95057767587627]}";183;VAL-D'ARGENTEUIL;consigne;30;0;;;;En travaux;2019-01-02;2019;Ville d'Argenteuil;0;0;65110;Val d'Argenteuil;VAL-D'ARGENTEUIL;J;A01852;C01739;95018;Argenteuil;95;643701.0;6872564.0
48.8444130116, 2.52614061521;"{""type"": ""Point"", ""coordinates"": [2.526140615208138, 48.844413011639155]}";154;BRY-SUR-MARNE;abri;0;28;0;28;28;En service;2018-01-01;2018;CD94;;;73166;Bry-sur-Marne (Gare);BRY-SUR-MARNE;A;A01856;C01742;94015;Bry-sur-Marne;94;665223.0;6860589.0
48.9053779536, 2.26708963435;"{""type"": ""Point"", ""coordinates"": [2.267089634352109, 48.905377953634726]}";490;Bécon-les-Bruyères;consigne;40;0;;;;En travaux;;;SNCF;;;72134;Michel Ricard / Moulin des Bruyères;Bécon-les-Bruyères (en projet);L;A02176;C01740;92026;Courbevoie;92;646274.74;6867513.61
