REGION;DEPARTEMENT;NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;coordonnees_finales;coordonnees_ban;coordonnees_cp
BRETAGNE;MORBIHAN;Ecomusée Industriel des Forges;5609001;Mail François Giovannelli;56650;INZINZAC-LOCHRIST;0297369821;0297369822;www.inzinzac-lochrist.fr/Ecomusee-des-Forges.6681.0.html;Janvier, février;Ouvert d'avril à octobre. En avril, mai et octobre du lundi au vendredi de 10h à 12h et de 14h à 18h, en juin et septembre du lundi au vendredi de 10h à 12h et de 14h à 18h et le dimanche de 14h à 18h, en juillet-août du lundi au vendredi de 10h à 18h30,;;01/02/2003;;47.824797, -3.252319;47.824797, -3.252319;47.8561611073, -3.25190412648
BRETAGNE;FINISTERE;Musée des Phares et Balises;2915502;Le Créac'h;29242;OUESSANT;0298488070;0298488070;www.pnr-armorique.fr;1er janvier, 25 décembre;Ouvert de janvier à février, d'octobre à décembre de 11h30 à 17h du mardi au dimanche et tous les jours pendant les vacances scolaires (zone B), d'avril à juin, et septembre de 11h30 à 17h tous les jours et 18h lors des ponts et jours fériés, en juillet-a;;01/02/2003;;48.458998, -5.128812;48.458998, -5.128812;48.459903719, -5.08558073486
BRETAGNE;FINISTERE;Musée de Pont-Aven;2921701;Place Julia;29930;PONT-AVEN;0298061443;0298060339;www.museepontaven.fr;Janvier et le 25 décembre;"Ouvert en février, mars, novembre, décembre du mardi au dimanche de 14h à 17h30, en avril, mai, juin, septembre et octobre du mardi au dimanche de 10h à 18h et en juillet - août tous les jours de 10h à 19h
Ouvert exceptionnellement les lundis de Pentecôt";;01/02/2003;;47.855514, -3.747063;47.855514, -3.747063;47.8719049121, -3.76549245761
BRETAGNE;MORBIHAN;La Cohue, Musée des Beaux-Arts de vannes;5626003;9 et 15 Place Saint-Pierre;56000;VANNES;0297016300;0297016301;www.mairie-vannes.fr;25 décembre, 1er janvier;Ouvert de  juin au 30 septembre tous les jours de 10h à 18h, du  1er octobre au 31 mai tous les jours (sauf fériés) de 13h30 à 18h. A partir de juin 2015, le musée est ouvert tous les jours;;01/02/2003;;47.657693, -2.757556;47.657693, -2.757556;47.6598173381, -2.75698478615
BRETAGNE;FINISTERE;Ecomusée des Monts d'Arrée - Moulins de Kerouat;2903801;Moulins de Kerouat;29450;COMMANA;0298688776;0298688551;www.ecomusee-monts-arree.fr;;Ouvert du 2 mars au 31 mai et 1er septembre au 31 octobre du lundi au vendredi de 10h à 18h, dimanche et jours fériés de 14h à 18h, en juin 11h à 18h, juillet/août de 11h à 19h tous les jours, Vacances scolaires, Noël, Février, Toussaint du lundi au vendr;;01/02/2003;;48.415821, -4.006179;48.415821, -4.006179;48.3997146924, -4.03661538866
CENTRE-VAL DE LOIRE;CHER;Musée des Meilleurs Ouvriers de France;1803306;Place Etienne Dolet;18000;BOURGES;0248578245;0248650077;Site de la ville www.ville-bourges.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;;01/02/2003;;47.081888, 2.398484;47.081888, 2.398484;47.0747448585, 2.40489595766
BRETAGNE;ILE ET VILAINE;Ecomusée du Pays de Rennes;3523803;"Ferme de la Bintinais
Route de Noyal-Châtillon-sur-Seiche";35200;RENNES;0299513815;0299518288;www.ecomusee-rennes-metropole.fr;16 au 31 janvier, jours fériés;Ouvert du 1er avril au 30 septembre du mardi au vendredi de 9h à18h (salles d'expos fermées entre 12h et 14h), samedi de 14h à 18h et dimanche de 14h à 19h, du 1er octobre au 31 mars du mardi au vendredi de 9h à 12h et de 14h à 18h, samedi de 14h à 18h et;;01/02/2003;;48.1116364246, -1.6816378334;;48.1116364246, -1.6816378334
CENTRE-VAL DE LOIRE;CHER;Musée d'Histoire Naturelle Gabriel Foucher;1803305;"Parc Saint-Paul Les Rives d’Auron
Allée René Ménard";18000;BOURGES;0248653734;0248698998;www.museum-bourges.net;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert tous les jours de 14h à 18h et pendant les vacances scolaires de la zone B de 10h à 12h et de 14h à 18h;;01/02/2003;;47.0747448585, 2.40489595766;;47.0747448585, 2.40489595766
BRETAGNE;MORBIHAN;Musée de la Carte Postale;5601001;"Le Quatro
3, Avenue Jean Moulin";56150;BAUD;0297511514;;https://www.lecartonvoyageur.fr/;Janvier et jours fériés 24 et 31 décembre;Ouvert du mardi au dimanche de 14h à 18h du 1er février au 31 décembre;;10/07/2017;;47.8954786966, -3.01425366823;;47.8954786966, -3.01425366823
BRETAGNE;ILE ET VILAINE;Musée d'Histoire de la Ville de Saint-Malo;3528802;"Château
Esplanade Félicité Lamennais - B.P. 147";35401;SAINT-MALO CEDEX;0299407185;0299407156;Site de la ville;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert d'avril à septembre tous les jours de 10h à 12h30 et de 14h à 18h et d'octobre à mars de 10h à 12h et de 14h à 18h du mardi au dimanche;;01/02/2003;;;;
