tvshow;season;ep_number;ep_title;duration;year
The Big Bang Theory;12;01;The Conjugal Configuration;20;2018
The Big Bang Theory;12;02;The Wedding Gift Wormhole;21;2018
The Big Bang Theory;12;03;The Procreation Calculation;20;2018
The Big Bang Theory;12;04;The Tam Turbulence;19;2018
The Big Bang Theory;12;05;The Planetarium Collision;19;2018
The Big Bang Theory;12;06;The Imitation Perturbation;19;2018
The Big Bang Theory;12;07;The Grant Allocation Derivation;19;2018
The Big Bang Theory;12;08;The Consummation Deviation;22;2018
The Big Bang Theory;12;09;The Citation Negation;20;2018
The Big Bang Theory;12;10;The VCR Illumination;20;2018
The Big Bang Theory;12;11;The Paintball Scattering;19;2019
The Big Bang Theory;12;12;The Propagation Proposition;20;2019
The Big Bang Theory;12;13;The Confirmation Polarization;20;2019
The Big Bang Theory;12;14;The Meteorite Manifestation;19;2019
The Big Bang Theory;12;15;The Donation Oscillation;21;2019
The Big Bang Theory;12;16;The D & D Vortex;20;2019
The Big Bang Theory;12;17;The Conference Valuation;19;2019
The Big Bang Theory;12;18;The Laureate Accumulation;21;2019
The Big Bang Theory;12;19;The Inspiration Deprivation;20;2019
The Big Bang Theory;12;20;The Decision Reverberation;19;2019
The Big Bang Theory;12;21;The Plagiarism Schism;19;2019
The Big Bang Theory;12;22;The Maternal Conclusion;20;2019
The Big Bang Theory;12;23;The Change Constant;19;2019
The Big Bang Theory;12;24;The Stockholm Syndrome;23;2019
The Lord of the Rings: The Rings of Power;1;1;A Shadow of the Past;66;2022
The Lord of the Rings: The Rings of Power;1;2;Adrift;67;2022
The Lord of the Rings: The Rings of Power;1;3;Adar;69;2022
The Lord of the Rings: The Rings of Power;1;4;The Great Wave;72;2022
The Lord of the Rings: The Rings of Power;1;5;Partings;72;2022
The Lord of the Rings: The Rings of Power;1;6;Udûn;69;2022
The Lord of the Rings: The Rings of Power;1;7;The Eye;72;2022
The Lord of the Rings: The Rings of Power;1;8;Alloyed;72;2022
The Lord of the Rings: The Rings of Power;2;1;Elven Kings Under the Sky;76;2024
The Lord of the Rings: The Rings of Power;2;2;Where the Stars are Strange;63;2024
The Lord of the Rings: The Rings of Power;2;3;The Eagle and the Sceptre;67;2024
The Lord of the Rings: The Rings of Power;2;4;Eldest;65;2024
The Lord of the Rings: The Rings of Power;2;5;Halls of Stone;62;2024
The Lord of the Rings: The Rings of Power;2;6;Where Is He?;63;2024
The Lord of the Rings: The Rings of Power;2;7;Doomed to Die;73;2024
The Lord of the Rings: The Rings of Power;2;8;Shadow and Flame;74;2024
Arcane;1;1;Welcome to the Playground;43;2021
Arcane;1;2;Some Mysteries Are Better Left Unsolved;41;2021
Arcane;1;3;The Base Violence Necessary for Change;44;2021
Arcane;1;4;Happy Progress Day!;41;2021
Arcane;1;5;Everybody Wants to Be My Enemy;41;2021
Arcane;1;6;When These Walls Come Tumbling Down;42;2021
Arcane;1;7;The Boy Savior;40;2021
Arcane;1;8;Oil and Water;40;2021
Arcane;1;9;The Monster You Created;39;2021
Arcane;2;1;Heavy Is the Crown;40;2024
Arcane;2;2;Watch It All Burn;40;2024
Arcane;2;3;Finally Got the Name Right;40;2024
Arcane;2;4;Paint the Town Blue;39;2024
Arcane;2;5;Blisters and Bedrock;42;2024
Arcane;2;6;The Message Hidden Within the Pattern;39;2024
Arcane;2;7;Pretend Like It's the First Time;42;2024
Arcane;2;8;Killing Is a Cycle;40;2024
Arcane;2;9;The Dirt Under Your Nails;50;2024
One Piece (2023);1;1;ROMANCE DAWN;64;2023
One Piece (2023);1;2;THE MAN IN THE STRAW HAT;55;2023
One Piece (2023);1;3;TELL NO TALES;58;2023
One Piece (2023);1;4;THE PIRATES ARE COMING;63;2023
One Piece (2023);1;5;EAT AT BARATIE!;51;2023
One Piece (2023);1;6;THE CHEF AND THE CHORE BOY;54;2023
One Piece (2023);1;7;THE GIRL WITH THE SAWFISH TATTOO;58;2023
One Piece (2023);1;8;WORST IN THE EAST;49;2023
